data,produto,produto_id,classificacao,unidade,menor,comum,maior
"2026-04-01","PINTADO","pintado","-","KG",28.50,29.00,30.00
"2026-04-01","TAMBAQUI","tambaqui","-","KG",13.78,14.20,14.84
"2026-04-01","TILÁPIA","tilapia","-","KG",12.97,13.38,13.80
"2026-04-01","TRUTA","truta","-","KG",40.30,41.00,42.00
"2026-04-02","FILE DE TILAPIA","file-de-tilapia","-","KG",43.19,43.85,44.69
"2026-04-02","PANGASIUS","pangasius","-","KG",11.00,11.50,12.00
"2026-04-02","TAMBAQUI","tambaqui","-","KG",11.96,12.33,12.71
"2026-04-02","TILÁPIA","tilapia","-","KG",14.60,15.30,16.00
"2026-04-02","TRUTA","truta","-","KG",41.54,42.53,43.53
"2026-04-06","FILE DE TILAPIA","file-de-tilapia","-","KG",41.80,42.57,43.42
"2026-04-06","PANGASIUS","pangasius","-","KG",9.80,9.90,10.00
"2026-04-06","PINTADO","pintado","-","KG",23.50,24.00,25.00
"2026-04-06","TAMBAQUI","tambaqui","-","KG",11.45,11.82,12.21
"2026-04-06","TILÁPIA","tilapia","-","KG",15.54,16.34,17.13
"2026-04-06","TRUTA","truta","-","KG",39.36,40.03,41.03
"2026-04-10","FILE DE TILAPIA","file-de-tilapia","-","KG",42.62,43.79,44.62
"2026-04-10","TILÁPIA","tilapia","-","KG",12.00,12.50,13.00
"2026-04-13","FILE DE TILAPIA","file-de-tilapia","-","KG",42.13,42.91,43.69
"2026-04-13","TILÁPIA","tilapia","-","KG",13.52,14.02,14.52
"2026-04-13","TRUTA","truta","-","KG",41.58,42.08,43.00
"2026-04-15","FILE DE TILAPIA","file-de-tilapia","-","KG",41.86,42.86,43.89
"2026-04-15","TILÁPIA","tilapia","-","KG",12.54,13.05,13.54
"2026-04-17","FILE DE TILAPIA","file-de-tilapia","-","KG",42.10,43.10,44.10
"2026-04-17","PINTADO","pintado","-","KG",27.00,27.50,28.00
"2026-04-17","TAMBAQUI","tambaqui","-","KG",14.50,15.00,15.50
"2026-04-17","TILÁPIA","tilapia","-","KG",12.73,13.08,13.43
"2026-04-22","FILE DE TILAPIA","file-de-tilapia","-","KG",41.87,42.65,43.54
"2026-04-22","PANGASIUS","pangasius","-","KG",9.00,9.50,10.00
"2026-04-22","PINTADO","pintado","-","KG",24.58,24.75,24.92
"2026-04-22","TAMBAQUI","tambaqui","-","KG",11.76,11.91,12.11
"2026-04-22","TILÁPIA","tilapia","-","KG",13.07,13.39,13.89
"2026-04-22","TRUTA","truta","-","KG",39.29,39.79,40.79
"2026-04-24","FILE DE TILAPIA","file-de-tilapia","-","KG",43.11,44.10,45.09
"2026-04-24","PINTADO","pintado","-","KG",26.00,26.50,27.00
"2026-04-24","TAMBAQUI","tambaqui","-","KG",14.00,14.50,15.00
"2026-04-24","TILÁPIA","tilapia","-","KG",12.38,12.71,13.05
"2026-04-24","TRUTA","truta","-","KG",40.00,41.00,42.00
"2026-04-27","FILE DE TILAPIA","file-de-tilapia","-","KG",41.82,42.50,43.21
"2026-04-27","TAMBAQUI","tambaqui","-","KG",11.00,11.50,12.00
"2026-04-27","TILÁPIA","tilapia","-","KG",13.22,13.31,13.41
"2026-04-27","TRUTA","truta","-","KG",40.00,41.00,42.00
"2026-04-29","FILE DE TILAPIA","file-de-tilapia","-","KG",42.73,43.69,44.66
"2026-04-29","TILÁPIA","tilapia","-","KG",13.00,13.30,13.50
"2026-05-04","FILE DE TILAPIA","file-de-tilapia","-","KG",43.01,43.92,44.85
"2026-05-04","PINTADO","pintado","-","KG",27.00,28.00,29.00
"2026-05-04","TAMBAQUI","tambaqui","-","KG",13.68,14.18,15.00
"2026-05-04","TILÁPIA","tilapia","-","KG",13.00,13.20,13.38
"2026-05-04","TRUTA","truta","-","KG",41.00,42.00,43.00
"2026-05-06","FILE DE TILAPIA","file-de-tilapia","-","KG",42.36,43.23,44.10
"2026-05-06","PANGASIUS","pangasius","-","KG",9.80,9.90,10.00
"2026-05-06","PINTADO","pintado","-","KG",25.50,26.00,26.50
"2026-05-06","TAMBAQUI","tambaqui","-","KG",13.35,13.76,14.17
"2026-05-06","TILÁPIA","tilapia","-","KG",11.99,12.50,12.99
"2026-05-06","TRUTA","truta","-","KG",40.00,40.50,41.20
"2026-05-08","FILE DE TILAPIA","file-de-tilapia","-","KG",41.87,42.59,43.35
"2026-05-08","PANGASIUS","pangasius","-","KG",11.00,11.50,12.00
"2026-05-08","TAMBAQUI","tambaqui","-","KG",14.15,14.55,15.00
"2026-05-08","TILÁPIA","tilapia","-","KG",12.57,12.84,13.07
"2026-05-08","TRUTA","truta","-","KG",39.80,40.70,41.60
"2026-05-11","FILE DE TILAPIA","file-de-tilapia","-","KG",41.83,42.40,43.01
"2026-05-11","PANGASIUS","pangasius","-","KG",9.00,9.50,10.00
"2026-05-11","TAMBAQUI","tambaqui","-","KG",12.36,12.77,13.17
"2026-05-11","TILÁPIA","tilapia","-","KG",12.94,13.04,13.14
"2026-05-11","TRUTA","truta","-","KG",39.83,40.33,40.83
"2026-05-13","FILE DE TILAPIA","file-de-tilapia","-","KG",42.40,43.19,44.00
