data;categoria;produto;classificacao;unidade_peso;menor;comum;maior;quilo;coletado_em
02/02/2026;PESCADOS;FILE DE TILAPIA;-;KG;42,29;42,32;42,35;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
02/02/2026;PESCADOS;PANGASIUS;-;KG;10,0;10,0;10,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
02/02/2026;PESCADOS;PINTADO;-;KG;29,0;29,0;29,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
02/02/2026;PESCADOS;TAMBAQUI;-;KG;14,66;14,66;14,66;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
02/02/2026;PESCADOS;TILÁPIA;-;KG;11,99;12,1;12,21;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
02/02/2026;PESCADOS;TRUTA;-;KG;41,0;41,0;41,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
04/02/2026;PESCADOS;FILE DE TILAPIA;-;KG;37,84;37,84;37,84;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
04/02/2026;PESCADOS;PANGASIUS;-;KG;18,98;18,98;18,98;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
04/02/2026;PESCADOS;PINTADO;-;KG;29,0;29,0;29,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
04/02/2026;PESCADOS;TAMBAQUI;-;KG;14,5;14,5;14,5;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
04/02/2026;PESCADOS;TILÁPIA;-;KG;12,14;12,14;12,14;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
04/02/2026;PESCADOS;TRUTA;-;KG;41,0;41,0;41,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
06/02/2026;PESCADOS;FILE DE TILAPIA;-;KG;42,09;42,09;42,09;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
06/02/2026;PESCADOS;PANGASIUS;-;KG;10,0;10,0;10,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
06/02/2026;PESCADOS;TILÁPIA;-;KG;12,01;12,01;12,01;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
06/02/2026;PESCADOS;TRUTA;-;KG;40,0;40,0;40,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
09/02/2026;PESCADOS;FILE DE TILAPIA;-;KG;41,95;41,95;41,95;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
09/02/2026;PESCADOS;PINTADO;-;KG;27,2;27,2;27,2;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
09/02/2026;PESCADOS;TAMBAQUI;-;KG;14,0;14,0;14,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
09/02/2026;PESCADOS;TILÁPIA;-;KG;12,16;12,16;12,16;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
09/02/2026;PESCADOS;TRUTA;-;KG;41,0;41,0;41,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
11/02/2026;PESCADOS;FILE DE TILAPIA;-;KG;42,73;42,73;42,73;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
